X1,CaseID,Response_Legal,OpenEnd_Legal,Coded_Legal,Response_Medical,OpenEnd_Medical,Coded_Medical_A,Coded_Medical_B,weight1,weight2,weight3,tm_start,tm_finish,duration,XSPANISH,XPRIMELAN,XLANG,Order_Q9_Q10_First,Order_Q9_Q10_Second,DOV_Q14_More,DOV_Q14_Fewer,DOV_Q14_About,DOV_Q14_Havent,DOV_Q57a,Order_Q20_Q22_First,Order_Q20_Q22_Second,Order_Q20_Q22_Third,DOV_Q20_E,DOV_Q20_F,Order_Q20_a,Order_Q20_b,Order_Q20_c,Order_Q20_d,Order_Q20_e,Order_Q20_f,DOV_Q21_E,DOV_Q21_F,Order_Q21_a,Order_Q21_b,Order_Q21_c,Order_Q21_d,Order_Q21_e,Order_Q21_f,DOV_Q22_E,DOV_Q22_F,Order_Q22_a,Order_Q22_b,Order_Q22_c,Order_Q22_d,Order_Q22_e,Order_Q22_f,Order_Q29_Q30_First,Order_Q29_Q30_Second,Order_Q36A_Q36B_First,Order_Q36A_Q36B_Second,Order_Q38A_Q38B_First,Order_Q38A_Q38B_Second,Order_Q41A_Q41B_First,Order_Q41A_Q41B_Second,Order_Q49_Q57_A,Order_Q49_Q57_E,Order_Q49_Q57_G,Order_Q49_Q57_H,Order_Q49_Q57_I,Q2,Q4A,Q5,Q9a,Q9b,Q9c,Q9e,Q9f,Q9g,Q9h,Q9i,Q10a,Q10b,Q10c,Q10e,Q10f,Q10g,Q10h,Q10i,Q11,Q12,Q14,Q15,Q17,Q18,Q20,Q21,Q22,Q27,Q29,Q30,Q32B,Q33B,Q34,Q35,Q36A,Q36B,Q37,Q38A,Q38B,Q39,Q41A,Q41B,Q42,Q43,Q44,Q44A,Q44A1,Q45,Q46,Q47,Q48B,Q48b1,Q49_A,Q50_A,Q51_A,Q52_A,Q53_A,Q54_A,Q55_A,Q56_A,Q49_E,Q50_E,Q51_E,Q52_E,Q55_E,Q56_E,Q57a_E,Q57b_E,Q49_G,Q50_G,Q51_G,Q52_G,Q55_G,Q56_G,Q57a_G,Q57b_G,Q49_H,Q50_H,Q51_H,Q52_H,Q55_H,Q56_H,Q57a_H,Q57b_H,Q49_I,Q51_I,Q50_I,Q52_I,Q55_I,Q56_I,Q57a_I,Q57b_I,Q58A,Q58C,Q59A_1,Q59A_2,Q59A_3,Q59A_4,Q59A_5,Q59A_6,Q59A_7,Q59A_8,Q59A_9,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,PPNET,PPRACEM,pppa0197,pppa0012
695,718,1,a lot of prisoners have been released due to dna testing who was found guilty of a crime.,trust,2,research can produce new medications.,medical cure,NA,0.28,0.59,0.24,3/26/11 15:00,3/26/11 15:29,29,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,0,1,4,2,5,3,NA,1,1,0,2,3,4,1,5,NA,1,0,5,3,1,4,2,NA,1,2,2,1,2,1,1,2,1,2,3,4,5,3,2,2,1,2,1,2,1,1,2,2,3,3,1,3,3,3,3,2,2,2,NA,NA,NA,NA,3,5,2,1,3,2,1,2,3,3,2,2,2,2,1,3,1,1,3,2,2,2,research can produce new medications.,1,1,1,1,a lot of prisoners have been released due to dna testing who was found guilty of a crime.,1,1,1,2,2,2,2,2,1,1,1,2,2,2,1,NA,1,1,1,2,2,2,1,NA,1,1,1,2,3,3,3,NA,1,1,NA,1,3,3,3,NA,2,1,0,1,1,0,0,0,0,0,0,57,5,3,10,3,2,1,1,3,2,15,1,1,3,5,1,59,0,0,0,0,3,5,1,2,1,2
696,719,1,NA,"NA",1,NA,"NA",NA,0.05,0.65,0.04,3/26/11 15:01,3/26/11 15:17,16,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,1,0,2,3,4,1,5,NA,1,0,5,3,1,4,2,NA,0,1,2,5,3,1,NA,4,2,1,1,2,1,2,2,1,1,2,3,4,5,5,4,2,2,3,1,1,3,3,3,3,1,1,1,1,3,3,3,3,4,2,NA,NA,NA,NA,3,4,2,1,4,2,2,3,4,3,4,3,4,3,1,4,1,4,4,4,4,1,NA,3,1,1,1,NA,2,2,2,3,2,2,3,3,2,2,3,3,2,2,3,NA,2,2,2,3,3,3,3,NA,1,1,1,2,3,3,3,NA,1,1,NA,1,3,3,3,NA,1,1,0,0,1,0,0,0,0,0,0,66,6,4,9,2,5,1,1,2,1,11,1,1,2,4,1,41,0,0,0,0,2,5,1,6,1,5
697,720,1,Donate what's needed,indeterminate willing,1,Give a sample and non-identifying data.,privacy,NA,1.61,0.63,1.4,3/26/11 15:01,3/26/11 18:38,216,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,5,3,1,4,2,NA,0,1,2,5,3,1,NA,4,1,0,1,2,5,3,4,NA,1,2,2,1,2,1,1,2,5,1,2,3,4,2,1,1,1,1,1,2,1,3,2,3,1,2,1,2,1,3,3,3,1,2,NA,NA,NA,NA,2,3,1,1,3,1,2,1,3,3,1,4,4,1,2,4,1,1,4,2,1,1,Give a sample and non-identifying data.,2,2,1,1,Donate what's needed,2,4,4,4,1,1,4,4,1,1,1,3,3,1,NA,3,1,1,3,4,3,1,NA,3,2,2,3,3,3,1,NA,3,1,2,NA,1,1,1,NA,3,1,1,0,1,1,0,0,0,0,0,0,45,4,3,13,4,1,1,1,5,1,16,1,1,2,3,1,33,0,1,2,0,2,2,1,1,1,6
698,721,1,for use in current or future investigations to determine a person's guilt or innocence of a particular crime,trust,1,NA,"NA",NA,1.46,2.71,1.27,3/26/11 15:01,3/26/11 15:14,12,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,0,1,2,5,3,1,NA,4,1,0,1,2,5,3,4,NA,1,0,5,4,2,3,1,NA,2,1,1,2,1,2,2,1,5,1,2,3,4,3,3,2,2,2,1,2,2,3,3,3,2,2,1,2,2,2,3,3,3,2,NA,NA,NA,NA,4,4,3,1,4,4,1,1,1,1,1,1,1,1,1,2,2,2,4,1,2,1,NA,2,1,1,1,for use in current or future investigations to determine a person's guilt or innocence of a particular crime,2,2,2,2,2,2,4,4,2,2,2,2,2,2,NA,3,2,2,2,2,2,2,NA,3,2,2,2,2,2,2,NA,3,2,2,NA,2,2,2,NA,3,1,1,0,0,1,1,1,0,0,0,0,45,4,3,12,4,3,1,1,4,2,14,1,1,2,3,1,33,0,1,1,0,2,3,0,4,1,2
699,722,3,NA,"NA",3,NA,"NA",NA,1.78,0.69,1.54,3/26/11 15:02,3/26/11 15:14,11,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,1,0,1,2,5,3,4,NA,1,0,5,4,2,3,1,NA,0,1,1,4,2,5,NA,3,1,2,2,1,2,1,1,2,4,5,1,2,3,5,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,NA,NA,NA,NA,3,3,3,3,4,4,2,2,2,2,2,2,3,2,2,2,3,2,4,3,3,3,NA,3,3,2,3,NA,2,3,3,3,3,3,4,4,2,3,3,3,4,4,4,NA,2,3,3,3,4,4,4,NA,2,3,3,3,4,4,4,NA,2,3,NA,3,4,4,4,NA,2,2,0,1,1,1,0,0,0,0,0,42,3,2,9,2,1,1,0,1,3,11,5,1,1,1,2,16,0,0,0,0,1,1,1,1,1,4
700,723,1,to prove innocence.,exoneration/innocence,2,help to understand ourselves.,scientific knowledge,NA,0.36,0.67,0.32,3/26/11 15:05,3/26/11 15:36,31,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,5,4,2,3,1,NA,0,1,1,4,2,5,NA,3,1,0,3,4,2,5,1,NA,2,1,1,2,1,2,2,1,4,5,1,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,NA,NA,NA,6,6,6,1,1,1,2,3,4,3,2,2,3,2,2,4,1,1,3,2,2,2,help to understand ourselves.,2,2,2,1,to prove innocence.,2,1,3,1,2,2,2,2,1,1,3,1,1,1,3,NA,1,1,3,1,3,1,3,NA,1,1,3,1,3,1,3,NA,1,4,NA,1,1,1,3,NA,2,1,0,1,1,0,0,0,0,0,0,47,4,3,14,4,3,1,1,2,1,16,1,1,1,2,1,23,0,0,0,0,2,1,1,4,1,4
701,724,4,NA,"NA",4,NA,"NA",NA,0.07,0.15,0.06,3/26/11 15:06,3/26/11 16:17,71,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,0,1,1,4,2,5,NA,3,1,0,3,4,2,5,1,NA,1,0,1,3,5,2,4,NA,1,2,2,1,2,1,1,2,3,4,5,1,2,2,2,2,2,2,1,2,3,3,2,3,1,2,1,2,3,3,2,3,3,2,NA,NA,NA,NA,1,4,3,3,4,4,2,2,2,2,2,2,3,2,2,3,1,1,4,4,3,4,NA,3,3,4,4,NA,1,1,1,3,1,1,3,3,3,2,2,2,3,3,NA,4,2,2,2,4,3,3,NA,4,3,4,4,4,2,2,NA,2,2,4,NA,2,4,2,NA,4,2,2,0,1,1,0,0,0,0,1,0,74,6,4,11,3,2,1,1,1,2,11,5,1,3,5,1,52,0,0,0,0,1,5,1,2,1,4
702,725,1,it might help either convict or aquit someone of alleged accusation.,trust,1,It might help in cures for some diseases or other problems.,medical cure,NA,5.32,2.07,4.62,3/26/11 15:06,3/26/11 15:57,50,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,1,0,3,4,2,5,1,NA,1,0,1,3,5,2,4,NA,0,1,4,3,2,5,NA,1,2,1,1,2,1,2,2,1,2,3,4,5,1,3,2,2,1,1,1,2,2,1,2,3,1,1,1,2,2,1,2,3,2,2,NA,NA,NA,NA,3,4,3,1,1,1,2,4,3,3,2,2,2,3,3,2,1,1,4,1,3,1,It might help in cures for some diseases or other problems.,1,1,1,1,it might help either convict or aquit someone of alleged accusation.,2,1,3,4,2,2,2,2,1,1,2,2,2,2,NA,1,1,1,1,1,3,2,NA,1,1,1,1,2,2,2,NA,1,1,2,NA,1,3,3,NA,1,2,1,0,1,1,1,1,0,0,0,0,57,5,3,12,4,1,1,1,1,1,11,5,1,3,5,1,54,0,0,0,0,1,5,0,1,1,3
703,726,1,Could prove my innocent.,interest,1,Could lead to positive scientific development.,scientific knowledge,NA,6.04,2.35,5.25,3/26/11 15:09,3/26/11 15:21,12,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,1,3,5,2,4,NA,0,1,4,3,2,5,NA,1,1,0,5,1,3,2,4,NA,1,2,2,1,2,1,1,2,1,2,3,4,5,4,4,2,1,1,1,1,2,3,2,3,1,1,1,2,2,3,2,3,4,2,NA,NA,NA,NA,3,4,3,1,3,1,1,1,2,2,1,1,2,1,2,1,3,2,4,2,2,1,Could lead to positive scientific development.,3,2,2,1,Could prove my innocent.,1,2,3,2,1,2,3,3,2,1,2,3,3,3,NA,3,1,1,2,3,3,3,NA,3,1,1,2,3,3,3,NA,3,1,1,NA,2,3,3,NA,3,2,1,0,1,1,1,1,0,0,0,0,22,1,1,10,3,1,1,0,4,1,16,5,1,2,3,1,33,0,0,0,1,3,1,1,1,1,5
704,727,2,it may help,help society,4,don.t know enough about the research,need more information,NA,0.29,0.62,0.25,3/26/11 15:09,3/26/11 15:58,49,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,0,1,4,3,2,5,NA,1,1,0,5,1,3,2,4,NA,1,0,4,5,3,1,2,NA,2,1,1,2,1,2,2,1,1,2,3,4,5,3,3,2,1,2,1,2,2,3,3,3,3,2,1,2,3,3,3,3,3,2,NA,NA,NA,NA,3,2,3,1,4,4,2,2,3,3,2,2,2,2,2,4,1,1,4,3,3,4,don.t know enough about the research,3,2,2,2,it may help,1,2,3,3,3,3,3,3,2,2,3,2,3,3,3,NA,1,2,4,3,3,3,3,NA,1,3,4,3,3,3,3,NA,1,3,NA,2,3,3,3,NA,2,1,0,1,1,0,0,0,0,0,0,41,3,2,10,3,2,2,0,6,1,6,5,1,4,9,2,93,0,1,2,0,3,6,0,2,1,4
705,728,2,prevent crime,trust,2,prevent diseases,scientific knowledge,NA,3.77,1.47,3.28,3/26/11 15:10,3/26/11 15:26,15,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,1,0,5,1,3,2,4,NA,1,0,4,5,3,1,2,NA,0,1,5,2,3,1,NA,4,1,2,2,1,2,1,1,2,5,1,2,3,4,3,2,2,1,1,1,1,2,2,2,3,1,2,1,2,2,2,2,3,3,2,NA,NA,NA,NA,3,3,1,1,4,4,2,3,3,3,2,2,2,2,3,3,2,2,4,3,2,2,prevent diseases,2,1,2,2,prevent crime,2,3,3,3,3,3,4,4,1,2,2,2,3,3,1,NA,1,2,2,2,3,3,1,NA,1,2,2,2,3,3,1,NA,1,2,NA,2,3,3,1,NA,1,1,0,1,1,0,0,0,0,0,0,69,6,4,9,2,1,2,1,3,2,12,1,1,3,5,1,51,0,0,0,0,3,5,1,1,1,4
706,729,1,NA,"NA",2,NA,"NA",NA,0.17,0.36,0.15,3/26/11 15:15,3/26/11 16:10,55,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,4,5,3,1,2,NA,0,1,5,2,3,1,NA,4,1,0,3,5,4,1,2,NA,2,1,1,2,1,2,2,1,5,1,2,3,4,5,4,2,2,2,1,2,1,2,3,3,1,2,1,2,2,2,3,3,4,2,NA,NA,NA,NA,3,2,2,1,4,4,2,2,-1,2,2,2,2,2,2,4,4,4,4,2,2,2,NA,1,1,1,1,NA,1,1,2,2,1,1,3,3,2,2,2,3,3,3,3,NA,2,2,3,3,4,3,3,NA,2,2,3,3,3,3,3,NA,1,1,NA,1,3,3,3,NA,2,2,0,1,0,1,0,0,0,0,0,65,6,4,12,4,2,1,1,2,1,9,1,1,3,5,1,58,0,0,0,0,2,5,1,2,1,1
707,730,2,Why not,trust,2,Not real sure,XX,NA,0.03,0.39,0.03,3/26/11 15:15,3/26/11 15:35,19,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,0,1,5,2,3,1,NA,4,1,0,3,5,4,1,2,NA,1,0,2,1,4,3,5,NA,1,2,2,1,2,1,1,2,4,5,1,2,3,3,2,2,1,1,1,2,2,3,2,3,1,1,1,2,2,3,3,3,4,2,NA,NA,NA,NA,2,1,2,3,4,4,2,2,2,2,2,2,3,3,2,2,1,2,3,2,2,2,Not real sure,2,2,2,2,Why not,2,3,3,3,2,2,4,4,2,3,4,3,4,4,NA,3,2,2,3,3,4,4,NA,3,2,3,4,3,4,4,NA,3,2,3,NA,3,4,4,NA,3,2,1,0,1,1,0,0,0,0,0,0,60,5,4,11,3,5,1,1,3,1,16,1,1,3,7,1,74,0,0,0,0,3,5,1,6,1,4
708,731,4,I not a criminal,mistrust,4,NA,"NA",NA,0.17,0.36,0.15,3/26/11 15:15,3/26/11 15:39,23,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,1,0,3,5,4,1,2,NA,1,0,2,1,4,3,5,NA,0,1,1,5,4,2,NA,3,2,1,1,2,1,2,2,1,4,5,1,2,3,5,3,2,1,2,1,2,2,3,2,2,1,2,-1,2,2,2,2,2,4,2,NA,NA,NA,NA,6,6,6,3,4,-1,2,2,3,2,3,3,3,2,3,3,2,2,4,2,2,4,NA,3,2,2,4,I not a criminal,2,2,2,2,2,2,3,3,2,2,2,2,3,3,NA,3,2,2,2,2,2,3,NA,4,2,2,-1,2,3,3,NA,3,2,2,NA,2,3,3,NA,3,2,2,1,0,0,0,0,0,0,0,0,73,6,4,10,3,2,1,1,6,1,12,1,1,3,7,2,74,0,1,0,0,5,6,1,2,1,4
709,732,3,"If I were guilty, the dna evidence could be used against me.  If I were innocent, the evidence would be irrelevant.",interest,1,"The information could be useful in developing treatments for disease and in better understandiiing the biomass. However, I would insist on strong controls to insure the samples could not be identified with individuals.",scientific knowledge,NA,1.36,0.53,1.18,3/26/11 15:15,3/26/11 15:35,19,1,5,8,1,2,NA,NA,NA,NA,0,1,2,3,1,0,2,1,4,3,5,NA,0,1,1,5,4,2,NA,3,0,1,2,3,5,1,NA,4,1,2,2,1,2,1,1,2,3,4,5,1,2,1,1,2,1,2,1,2,2,3,2,3,1,2,1,2,2,3,2,3,2,2,NA,NA,NA,NA,3,3,3,1,1,1,2,4,2,4,2,3,3,2,3,2,1,1,2,2,4,1,"The information could be useful in developing treatments for disease and in better understandiiing the biomass. However, I would insist on strong controls to insure the samples could not be identified with individuals.",1,2,2,3,"If I were guilty, the dna evidence could be used against me.  If I were innocent, the evidence would be irrelevant.",1,2,3,4,1,1,2,2,1,2,2,4,2,1,NA,1,1,1,2,4,2,1,NA,1,1,2,2,4,2,2,NA,1,1,2,NA,2,3,3,NA,1,1,1,0,1,1,1,0,0,0,0,0,85,7,4,14,4,1,1,1,2,1,12,1,1,1,1,1,14,0,0,0,0,2,5,1,1,1,3
710,733,1,NA,"NA",2,NA,"NA",NA,1.62,0.63,1.41,3/26/11 15:18,3/26/11 15:29,11,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,0,1,1,5,4,2,NA,3,0,1,2,3,5,1,NA,4,1,0,4,2,3,5,1,NA,2,1,1,2,1,2,2,1,2,3,4,5,1,4,3,2,1,1,1,2,2,1,2,3,2,2,2,2,2,2,2,3,3,2,NA,NA,NA,NA,1,3,1,1,4,1,2,1,1,1,1,1,2,2,1,2,3,1,3,2,1,2,NA,1,2,1,1,NA,2,2,2,2,2,2,3,3,1,2,2,2,3,3,3,NA,2,2,2,2,3,3,3,NA,2,2,2,2,3,3,3,NA,2,2,NA,2,3,3,1,NA,2,1,0,1,1,0,0,0,0,0,0,25,2,1,13,4,1,2,0,2,1,16,1,1,3,7,1,73,0,0,0,0,2,1,1,1,1,6
711,734,2,"If I was a suspect in a crime, I would want to contribute DNA evidence to exonerate myself.",interest,2,"Medical research is important and donating a cotton swab sample from my mouth is a simple, non-invasive procedure.",scientific knowledge,NA,1.1,2.04,0.96,3/26/11 15:18,3/26/11 15:33,15,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,0,1,2,3,5,1,NA,4,1,0,4,2,3,5,1,NA,0,1,4,2,1,3,NA,5,1,2,2,1,2,1,1,2,1,2,3,4,5,4,3,2,1,1,1,1,2,3,2,3,1,2,1,2,3,3,3,3,3,2,NA,NA,NA,NA,3,3,1,1,2,1,2,3,2,3,3,2,3,1,1,2,2,1,4,2,2,2,"Medical research is important and donating a cotton swab sample from my mouth is a simple, non-invasive procedure.",2,1,1,2,"If I was a suspect in a crime, I would want to contribute DNA evidence to exonerate myself.",1,1,3,4,1,1,4,2,1,1,3,4,4,4,4,NA,1,2,2,4,4,4,4,NA,1,2,3,3,1,4,4,NA,1,2,NA,2,4,4,4,NA,2,1,0,1,1,1,1,0,0,0,0,30,2,2,13,4,3,1,1,1,3,11,5,1,1,2,1,22,0,0,0,0,1,1,1,4,1,4
712,735,2,To out rule the possibility of my guilt in the eyes of judge and jury.,interest,4,I already know what I'm genetically predisposed to because certain family members display it.  I don't want to give out my genetic information.,interest,privacy,0.08,1.08,0.07,3/26/11 15:21,3/26/11 16:03,42,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,4,2,3,5,1,NA,0,1,4,2,1,3,NA,5,0,1,1,2,3,5,NA,4,2,1,1,2,1,2,2,1,1,2,3,4,5,1,1,2,1,1,1,2,2,2,2,3,1,1,1,2,2,2,2,3,2,2,NA,NA,NA,NA,4,3,2,1,2,1,2,2,4,3,3,3,4,4,2,4,1,1,1,2,3,4,I already know what I'm genetically predisposed to because certain family members display it.  I don't want to give out my genetic information.,1,2,2,2,To out rule the possibility of my guilt in the eyes of judge and jury.,3,3,4,3,4,3,2,1,2,2,4,3,3,2,3,NA,2,2,3,2,2,1,3,NA,2,3,4,3,2,1,3,NA,1,2,NA,2,1,2,3,NA,1,1,0,1,1,0,1,1,1,0,0,20,1,1,10,3,5,2,0,5,1,15,5,1,2,4,1,46,0,0,1,1,3,1,1,6,1,5
713,736,4,?,XX,4,not intruested at all,XX,NA,0.05,0.62,0.04,3/26/11 15:21,3/26/11 15:36,15,1,5,8,1,2,NA,NA,NA,NA,0,2,3,1,0,1,4,2,1,3,NA,5,0,1,1,2,3,5,NA,4,1,0,4,3,2,5,1,NA,1,2,2,1,2,1,1,2,5,1,2,3,4,4,3,2,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,NA,NA,NA,NA,3,3,5,1,1,4,3,2,3,3,2,2,2,2,2,3,1,1,4,2,2,4,not intruested at all,4,3,2,4,?,1,2,2,2,1,1,3,3,1,2,1,1,3,3,NA,1,1,2,2,2,2,2,NA,1,1,2,2,2,2,2,NA,1,1,2,NA,2,2,2,NA,1,2,2,0,1,1,0,0,0,0,0,0,38,3,2,9,2,5,1,0,6,3,1,6,1,1,1,2,16,0,0,2,0,4,1,1,6,1,4
714,737,2,NA,"NA",2,NA,"NA",NA,0.38,0.82,0.33,3/26/11 15:21,3/26/11 16:08,46,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,1,2,3,5,NA,4,1,0,4,3,2,5,1,NA,0,1,4,3,2,5,NA,1,2,1,1,2,1,2,2,1,5,1,2,3,4,3,2,2,1,1,1,2,3,3,3,3,1,1,1,3,3,3,3,3,2,2,NA,NA,NA,NA,3,3,1,1,4,1,1,4,-1,4,1,1,1,1,1,3,1,1,4,1,1,2,NA,1,1,1,2,NA,1,2,2,2,1,2,2,1,1,2,2,2,2,1,NA,1,1,2,2,2,2,1,NA,1,1,2,2,2,2,1,NA,1,1,2,NA,2,2,1,NA,1,1,1,0,1,1,1,1,0,0,0,0,56,5,3,12,4,2,1,1,4,1,15,1,1,3,5,1,56,0,0,0,0,4,1,1,2,1,2
715,738,2,NA,"NA",2,NA,"NA",NA,0.03,0.34,0.02,3/26/11 15:22,3/26/11 15:50,28,1,5,8,1,2,NA,NA,NA,NA,1,1,2,3,1,0,4,3,2,5,1,NA,0,1,4,3,2,5,NA,1,0,1,4,2,5,1,NA,3,1,2,2,1,2,1,1,2,4,5,1,2,3,4,2,2,1,1,1,2,2,2,3,3,1,2,1,2,2,3,3,3,4,2,NA,NA,NA,NA,3,4,2,1,1,1,2,4,2,3,3,2,3,2,3,1,1,1,4,3,3,2,NA,3,2,2,2,NA,3,2,3,2,4,2,2,2,1,1,2,1,2,2,3,NA,1,1,3,1,-1,-1,3,NA,1,1,3,1,-1,-1,3,NA,1,2,NA,2,-1,-1,3,NA,2,1,0,1,1,1,0,0,0,0,0,64,5,4,11,3,5,1,1,2,1,16,1,1,2,4,1,41,0,0,0,0,2,1,1,6,1,6
716,739,1,If it would help achieve justice - I am all for it,justice,1,why not?,trust,NA,2.32,0.9,2.01,3/26/11 15:23,3/30/11 0:30,4867,1,5,8,2,1,NA,NA,NA,NA,0,2,3,1,0,1,4,3,2,5,NA,1,0,1,4,2,5,1,NA,3,1,0,5,1,4,2,3,NA,2,1,1,2,1,2,2,1,4,5,1,2,3,3,2,2,1,1,1,2,2,2,2,1,1,-1,1,-1,-1,-1,-1,-1,3,2,NA,NA,NA,NA,3,3,4,1,1,1,1,2,3,3,2,2,3,1,1,4,1,1,3,1,1,1,why not?,2,1,1,1,If it would help achieve justice - I am all for it,1,2,1,3,2,1,2,1,1,1,2,2,2,1,NA,3,1,1,2,2,2,3,NA,3,1,1,1,2,2,1,NA,3,1,2,NA,2,3,3,NA,1,2,1,0,1,1,1,0,0,0,0,0,59,5,3,12,4,1,2,1,2,1,16,1,1,1,2,1,22,0,0,0,0,2,1,1,1,1,4
717,740,1,to get criminals off our streets,trust,1,for research,scientific knowledge,NA,1.68,3.11,1.46,3/26/11 15:24,3/30/11 13:55,5670,1,5,8,1,2,NA,NA,NA,NA,0,3,1,2,0,1,4,2,5,1,NA,3,1,0,5,1,4,2,3,NA,0,1,2,1,5,3,NA,4,1,2,2,1,2,1,1,2,3,4,5,1,2,4,2,2,1,2,1,1,2,3,2,2,2,2,1,1,1,3,2,2,3,2,NA,NA,NA,NA,3,1,2,1,3,3,1,1,1,2,2,2,3,2,1,2,2,1,2,2,2,1,for research,2,1,1,1,to get criminals off our streets,1,1,1,1,1,1,1,2,2,1,1,1,1,1,NA,1,2,1,1,1,1,1,NA,1,1,1,2,2,1,1,NA,1,1,1,NA,1,3,3,NA,1,1,1,0,0,1,1,0,0,0,0,0,19,1,1,9,2,3,2,0,2,3,17,5,1,1,2,2,21,0,0,0,0,2,4,1,4,1,4
718,741,1,"I think this would definitely help in a criminal case, and that would be a very good thing.",trust,1,I would support this because it could possibly help research and development with possible genetic diseases,scientific knowledge,NA,0.93,1.67,1.67,3/26/11 15:25,3/26/11 16:03,37,1,2,4,1,2,NA,NA,NA,NA,0,1,2,3,1,0,5,1,4,2,3,NA,0,1,2,1,5,3,NA,4,0,1,3,1,2,5,NA,4,2,1,1,2,1,2,2,1,2,3,4,5,1,4,3,-1,1,2,1,2,2,3,2,3,1,1,1,2,3,3,2,3,3,2,NA,NA,NA,NA,3,3,2,1,1,1,1,4,2,2,4,2,2,2,2,2,1,1,3,2,2,1,I would support this because it could possibly help research and development with possible genetic diseases,3,1,1,1,"I think this would definitely help in a criminal case, and that would be a very good thing.",1,2,4,-1,3,1,3,3,1,2,3,2,3,3,NA,1,1,1,3,2,3,3,NA,1,1,1,3,2,3,3,NA,3,1,1,NA,1,3,1,NA,1,2,2,0,1,0,1,0,1,0,0,0,47,4,3,10,3,4,2,1,3,1,17,1,1,4,9,1,91,0,0,1,0,2,1,1,NA,1,4
719,742,1,If I am innocent of a crime I would want my DNA to prove it,interest,4,My DNA is personal,privacy,NA,1.32,0.51,1.14,3/26/11 15:27,3/26/11 15:48,21,1,5,8,1,2,NA,NA,NA,NA,1,2,3,1,0,1,2,1,5,3,NA,4,0,1,3,1,2,5,NA,4,1,0,5,3,2,1,4,NA,1,2,2,1,2,1,1,2,1,2,3,4,5,5,3,2,1,1,1,2,1,1,3,3,1,1,1,2,2,1,3,3,4,2,NA,NA,NA,NA,3,2,1,1,3,1,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,My DNA is personal,3,4,4,1,If I am innocent of a crime I would want my DNA to prove it,3,4,4,4,4,4,2,2,3,4,4,4,2,2,3,NA,3,4,4,4,2,2,3,NA,2,4,4,4,2,2,3,NA,1,2,NA,1,2,2,3,NA,2,2,0,1,1,0,0,0,0,0,0,62,5,4,10,3,1,1,1,2,1,16,1,0,3,7,1,72,0,0,0,0,2,1,1,1,1,7
720,743,3,Concerned about misuse,mistrust,3,Concern for privacy.,privacy,NA,1.27,0.49,1.1,3/26/11 15:27,3/26/11 15:48,20,1,5,8,1,2,NA,NA,NA,NA,1,3,1,2,0,1,3,1,2,5,NA,4,1,0,5,3,2,1,4,NA,0,1,4,3,1,2,NA,5,2,1,1,2,1,2,2,1,1,2,3,4,5,5,3,2,1,1,1,2,2,3,2,3,1,2,1,2,2,2,3,3,3,2,NA,NA,NA,NA,3,4,3,1,1,1,2,3,3,3,2,3,3,3,2,1,3,3,4,3,2,3,Concern for privacy.,2,2,1,3,Concerned about misuse,3,3,3,3,3,3,2,3,2,2,2,2,2,3,3,NA,2,2,3,2,2,3,3,NA,2,3,3,3,2,3,3,NA,1,3,NA,2,3,3,3,NA,2,1,0,1,1,0,0,1,0,0,0,54,4,3,12,4,1,1,1,4,1,17,1,1,3,5,1,52,0,0,0,1,3,1,1,1,1,6
