X1,CaseID,Response_Legal,OpenEnd_Legal,Coded_Legal,Response_Medical,OpenEnd_Medical,Coded_Medical_AB,Coded_Medical,weight1,weight2,tm_start,tm_finish,duration,XSPANISH,XHISPAN,XGenes,DOV_ACSLANG,Q2,DOV_ORDER_Q9_Q10,DOV_ORDER_Q9,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q27,DOV_ORDER_Q29_Q30,Q29,Q30,Q42,Q43,Q44,Q44a,Q44a1,Q45,Q46,Q47,Q48B,Q48b1,DOV_ORDER_Q49,Q49_A,Q49_B,Q49_G,Q49_H,Q49_I,Q50_A,Q50_B,Q50_G,Q50_H,Q51_A,Q51_B,Q51_G,Q51_H,Q51_I,Q52_A,Q52_B,Q52_G,Q52_H,Q52_I,Q53,Q54,DOV_ORDER_Q1_New,Q1_New_1,Q1_New_2,Q1_New_3,Q1_New_4,Q1_New_5,Q1_New_6,Q1_New_7,Q1_New_8,DOV_ORDER_Q2_New,Q2_New_1,Q2_New_2,Q2_New_3,Q2_New_4,Q2_New_5,Q2_New_6,Q3_New,Q3A_New,Q4_New,Q5_New,Q5B_New_1,Q5B_New_2,Q5B_New_3,Q5B_New_Refused,DOV_ORDER_Q6_New,Q6_New_1,Q6_New_2,Q6_New_3,Q6_New_4,Q6_New_5,Q6_New_6,DOV_ORDER_Q7_New,Q7_New_1,Q7_New_2,Q7_New_3,Q7_New_4,Q7_New_5,Q7_New_6,Q8_New,PPAGE,ppagecat,ppagect4,PPEDUC,PPEDUCAT,PPETHM,PPGENDER,PPHHHEAD,PPHHSIZE,PPHOUSE,PPINCIMP,PPMARIT,PPMSACAT,PPREG4,ppreg9,PPRENT,PPSTATEN,PPT01,PPT25,PPT612,PPT1317,PPT18OV,PPWORK,race1,race2,race3,race4,race5,race6,race7,race8,race9,race10,race11,race12,race13,race14,race15,partyid7,ppp10012,pph10001,pph1acid,pph1adhd,pph1brea,pph1canc,pph1pain,pph1diab,pph1eyed,pph1gastr,pph1hatk,pph1hepc,pph1hype,pph1chol,pph1aids,pph1kidn,pph1meno,pph1ms,pph1liver,pph1osar,pph1oste,pph1psor,pph1pah,pph1arth,pph1alle,pph1sexd,pph1inso,pph1stro,pph1ufib,pph1none,pppa1690
157,165,1,To make sure the truth is found.,truth,1,To help science understand and possibly find treatments and cures for diseases.,Coded_Medical_A,value,1.291,0.7929,9/27/17,9/27/17,11,1,1,1,5,4,"Q10,Q9",NA,1,1,1,2,1,1,2,1,1,3,1,2,2,3,2,2,1,"Q29,Q30",4,1,4,2,2,1,NA,3,1,2,1,NA,NA,1,1,2,2,1,1,1,2,2,2,2,2,2,3,2,2,3,2,1,1,1,NA,1,4,1,4,5,2,5,5,NA,3,1,1,1,2,3,3,NA,1,2,1,0,0,0,NA,2,5,5,1,1,2,NA,3,1,1,1,3,3,1,50,4,3,12,4,1,2,1,3,1,15,1,1,3,5,1,59,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,NA,0,1
158,166,4,it seems like the government is watching everyone that would lead to control everyone.,mistrust,1,For science reason.,Coded_Medical_A,value,0.1482,0.4757,9/27/17,9/27/17,20,1,1,1,5,4,NA,NA,1,2,1,2,2,1,2,3,1,2,1,2,2,1,2,3,1,NA,4,1,4,1,3,1,NA,4,2,2,4,NA,NA,2,1,1,1,1,2,2,2,2,4,4,4,3,4,4,4,4,4,3,2,2,NA,2,1,1,3,5,3,4,1,NA,3,1,1,1,2,3,2,NA,1,2,1,0,0,0,NA,1,2,5,1,1,4,NA,3,1,1,1,2,3,2,52,4,3,12,4,3,1,1,2,1,15,6,1,4,9,2,93,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,3,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1
159,167,2,NA,"NA",2,NA,Coded_Medical_A,"NA",1.364,0.8377,9/27/17,9/27/17,22,1,1,1,5,4,NA,NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,4,4,4,2,3,2,NA,4,3,3,2,NA,NA,2,2,3,2,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,3,3,NA,2,4,3,2,3,3,2,2,NA,2,1,2,2,1,2,3,NA,2,1,NA,NA,NA,NA,NA,3,2,3,3,3,4,NA,2,1,2,2,1,2,2,90,7,4,9,2,1,2,1,1,1,5,2,0,4,8,1,83,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2
160,168,1,I have nothing to hide,trust,1,Might help save lives,Coded_Medical_A,value,0.4501,0.7699,9/27/17,9/27/17,14,1,1,1,5,4,"Q10,Q9",NA,2,2,1,2,2,3,3,2,1,2,1,1,3,2,3,2,1,NA,-1,2,3,2,2,1,NA,2,2,1,1,NA,NA,2,2,2,1,2,2,2,3,2,2,4,3,3,4,2,3,3,2,4,1,2,NA,2,2,3,2,2,2,2,2,NA,2,1,2,2,2,2,1,NA,2,3,NA,NA,NA,NA,NA,3,2,2,4,2,2,NA,2,1,2,2,2,2,1,46,4,3,11,3,2,1,1,2,1,11,1,1,1,2,1,21,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
161,169,1,Justice,truth,1,Know more,Coded_Medical_A,interest,0.3639,1.1677,9/27/17,9/27/17,6,1,1,1,5,5,"Q10,Q9",NA,2,2,1,2,3,3,3,3,2,2,1,3,3,3,3,3,3,"Q29,Q30",4,4,4,2,2,1,NA,4,1,2,1,NA,NA,2,2,2,2,2,2,2,2,1,3,3,4,3,3,2,3,3,3,3,2,2,NA,3,3,3,3,3,3,3,3,NA,3,1,2,3,2,4,4,NA,2,2,1,1,0,0,NA,3,3,3,3,3,3,NA,3,1,3,2,2,4,2,27,2,1,10,3,3,1,0,3,1,14,5,1,2,4,1,46,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,170,2,"for an active criminal case, if asked, why not",trust,2,why not,Coded_Medical_A,indeterminate willing,1.4411,0.885,9/27/17,9/27/17,27,1,1,1,5,4,NA,NA,1,1,1,2,3,3,2,2,2,1,1,3,3,3,3,2,1,NA,1,1,4,3,1,2,NA,2,2,3,2,NA,NA,1,1,1,1,1,2,2,1,2,2,2,2,2,1,3,3,3,3,2,3,3,NA,2,4,2,3,4,2,3,2,NA,3,2,2,2,1,3,3,NA,1,1,NA,NA,NA,NA,NA,1,1,5,5,2,5,NA,2,1,1,3,1,1,3,56,5,3,9,2,1,1,1,2,3,15,1,1,3,5,1,54,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
163,171,4,I'm not the criminal type.,mistrust,1,To be helpful.,Coded_Medical_A,trust,0.7154,0.4394,9/27/17,9/27/17,36,1,1,1,5,4,NA,NA,1,1,1,2,1,3,3,3,1,1,1,3,3,3,3,3,1,"Q29,Q30",3,1,4,1,1,1,NA,2,2,2,4,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,3,2,3,2,2,1,1,1,NA,1,3,1,4,5,2,2,1,NA,3,1,1,1,2,2,1,NA,1,2,1,0,0,0,NA,2,2,4,4,1,4,NA,2,2,1,1,2,1,1,78,7,4,14,4,1,1,1,1,3,14,3,1,1,2,2,21,0,0,0,0,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
164,172,3,infringement,privacy,2,cuiosity,Coded_Medical_A,interest,0.0692,0.1184,9/27/17,9/27/17,25,1,1,1,5,5,NA,NA,2,2,1,2,2,3,3,2,2,1,1,2,2,3,3,2,1,"Q29,Q30",4,2,3,3,3,2,NA,2,2,2,3,NA,NA,1,2,2,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,NA,2,2,2,4,4,4,2,3,NA,3,2,3,2,2,2,3,NA,1,2,0,1,0,0,NA,3,3,2,2,2,2,NA,3,2,2,2,2,2,1,85,7,4,13,4,2,1,1,1,2,13,2,1,2,3,1,31,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,174,4,"Again, the fear that it will be used for evil, such as being framed or other similar occurrences.",mistrust,2,"Aside from the fear that it may be used for evil rather than good, information from my DNA may be used in a data set to draw conclusions or find cures for diseases.",Coded_Medical_A,need more information,0.3555,1.1409,9/27/17,9/27/17,27,1,1,1,5,4,NA,NA,1,1,1,2,2,3,2,3,1,1,1,2,3,3,3,3,1,"Q29,Q30",1,1,4,2,1,2,NA,3,2,1,4,NA,NA,3,1,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,4,NA,2,2,2,3,5,4,5,1,NA,3,2,2,3,1,4,2,NA,1,2,1,0,0,0,NA,2,3,4,2,2,4,NA,3,1,2,2,1,4,1,37,3,2,12,4,3,1,1,4,1,19,1,1,3,5,1,59,0,0,2,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
166,175,1,don't know,indeterminate willing,4,none,Coded_Medical_A,"NA",0.5566,0.952,9/27/17,9/27/17,12,1,1,1,5,5,"Q10,Q9",NA,1,3,1,3,3,3,2,3,1,3,2,3,3,3,2,3,1,NA,4,4,4,3,3,4,NA,3,2,2,1,NA,NA,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,NA,3,2,3,3,3,3,3,2,NA,2,1,1,1,1,2,3,NA,2,3,NA,NA,NA,NA,NA,3,3,3,3,3,3,NA,2,1,1,1,1,2,2,68,6,4,9,2,2,1,1,1,1,3,5,1,3,6,2,62,0,0,0,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
167,176,1,"Not sure, but if I felt confident that it would be used competently and for good, I would do it.",need more information,1,"If it helped us to understand, it is simple enough.",Coded_Medical_A,value,0.1087,0.3489,9/27/17,9/27/17,25,1,1,1,5,4,NA,NA,1,1,1,2,2,2,2,3,2,2,1,2,2,2,2,3,1,"Q29,Q30",4,1,4,3,2,1,NA,4,2,2,1,NA,NA,3,2,3,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,NA,3,4,2,2,3,2,3,2,NA,3,1,2,3,1,3,4,NA,1,2,1,0,0,0,NA,2,2,3,5,5,4,NA,2,1,1,3,1,3,3,68,6,4,12,4,3,2,1,3,1,16,1,0,4,9,1,92,0,0,0,0,3,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2
168,177,2,To ensure only the guilty are inprisioned.,justice,2,"To help find cure to cancers, AIDS, Alzhiemers",Coded_Medical_A,value,0.4567,0.5575,9/27/17,9/27/17,30,1,3,1,2,5,"Q10,Q9",NA,1,1,1,2,2,1,2,1,1,1,1,2,2,1,3,1,1,"Q29,Q30",4,2,4,3,3,2,NA,2,2,2,2,NA,NA,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,2,2,NA,3,3,3,3,3,3,3,3,NA,2,1,2,1,2,2,3,NA,2,2,0,1,0,0,NA,3,3,3,3,3,3,NA,2,1,2,1,2,2,2,49,4,3,12,4,4,1,1,1,1,15,5,1,3,7,1,74,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
169,178,2,NA,"NA",2,NA,Coded_Medical_A,"NA",0.1202,0.3856,9/27/17,9/27/17,7,1,1,1,5,5,"Q10,Q9",NA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,NA,3,1,4,2,2,2,NA,3,2,2,2,NA,NA,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,NA,2,4,2,3,4,3,3,2,NA,2,2,2,2,2,2,1,NA,2,2,0,1,0,0,NA,3,3,3,2,3,3,NA,2,2,2,2,2,2,2,52,4,3,12,4,3,1,1,1,2,17,5,1,4,9,1,93,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2
170,179,3,i don't plan on committing any crimes,mistrust,2,"to further research that might cure disease, for example",Coded_Medical_A,value,0.9246,0.5678,9/27/17,9/27/17,89,1,1,1,5,4,"Q10,Q9",NA,1,1,1,2,2,1,2,3,1,2,1,2,3,3,3,3,1,NA,3,4,4,2,1,2,NA,3,2,1,3,NA,NA,1,1,1,1,1,1,1,1,1,4,2,4,4,2,2,1,2,2,1,1,1,NA,1,1,1,3,5,4,3,4,NA,3,2,2,2,2,3,3,NA,1,2,1,0,0,0,NA,3,4,4,2,2,2,NA,3,2,2,2,2,3,2,62,5,4,14,4,1,2,1,2,3,17,1,1,1,1,2,14,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,NA,0,1
171,180,1,I would be willingly to share in order to play my part,trust,1,I would like to be able to help cure some disease or prevent others in the future from getting it.  The more data that scientist have the more likely they are to develop a cure,Coded_Medical_A,value,1.0239,1.7513,9/27/17,9/27/17,102,1,1,1,5,2,NA,NA,1,2,1,2,2,2,2,3,1,1,1,2,2,2,2,3,1,"Q29,Q30",1,1,2,1,2,1,NA,1,1,2,1,NA,NA,1,2,1,2,2,1,2,2,1,3,4,3,3,2,2,3,3,3,2,1,1,NA,1,1,1,4,5,3,3,5,NA,3,1,2,1,1,2,3,NA,1,2,1,0,0,0,NA,2,5,4,2,-1,3,NA,3,1,2,1,1,2,2,34,2,2,12,4,2,2,0,3,1,17,5,1,3,7,1,74,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
172,181,1,It is the right thing to do.,general,1,Progress,Coded_Medical_A,value,1.2682,0.7789,9/27/17,9/27/17,18,1,1,1,5,3,"Q10,Q9",NA,2,2,1,2,2,2,2,3,2,2,1,2,2,2,2,3,1,"Q29,Q30",1,1,4,2,2,1,NA,2,1,1,1,NA,NA,3,1,1,1,1,4,1,1,1,4,1,1,1,1,4,1,1,1,1,4,4,NA,2,1,2,5,5,5,4,5,NA,3,3,3,2,2,2,1,NA,1,3,NA,NA,NA,NA,NA,5,5,4,1,1,1,NA,3,2,2,2,2,2,1,66,6,4,14,4,1,1,1,1,1,19,5,1,2,3,1,32,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
173,182,4,Policing is out of control and needs to be controlled.,mistrust,2,I support helping in scientific research.,Coded_Medical_A,value,0.8444,0.5186,9/27/17,10/2/17,7965,1,1,1,5,4,"Q10,Q9",NA,1,2,1,2,2,1,2,3,1,2,1,2,3,-1,3,3,1,NA,1,1,4,1,1,2,NA,2,3,1,4,NA,NA,1,2,2,2,2,1,2,2,2,2,2,3,3,4,2,4,4,4,3,1,1,NA,1,1,3,3,5,5,2,1,NA,3,2,2,1,2,3,3,NA,1,2,1,0,0,0,NA,2,4,5,5,1,4,NA,3,2,2,1,2,3,1,62,5,4,13,4,1,2,1,2,3,15,1,1,2,3,1,33,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
174,183,1,cant hurt,trust,1,cant hurt,Coded_Medical_A,indeterminate willing,1.482,0.9102,9/27/17,9/27/17,6,1,1,1,5,5,"Q10,Q9",NA,1,1,1,2,2,2,2,3,1,1,1,2,2,3,2,3,3,NA,4,4,4,2,1,1,NA,2,2,1,1,NA,NA,2,2,2,3,2,4,2,2,4,4,4,1,2,4,4,4,2,2,1,2,2,NA,2,3,2,3,3,3,3,3,NA,3,2,3,2,1,3,4,NA,2,2,0,0,1,0,NA,2,3,3,3,3,3,NA,2,2,2,2,1,2,2,48,4,3,9,2,1,1,1,1,1,9,5,1,1,2,1,23,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2
175,184,1,It can help people.,help society,1,Nothing to lose but everything to gain.,Coded_Medical_A,value,0.1087,0.3489,9/27/17,9/27/17,428,1,1,1,5,2,"Q10,Q9",NA,1,2,1,2,2,1,2,3,1,2,1,2,2,2,2,3,1,NA,1,1,2,1,1,1,NA,4,1,1,1,NA,NA,1,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,NA,1,1,1,4,5,4,4,4,NA,3,2,2,1,2,3,3,NA,1,2,1,0,0,0,NA,4,4,4,4,1,2,NA,3,2,2,1,2,3,1,45,4,3,14,4,3,1,1,3,3,10,1,1,2,3,2,34,0,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,-2
176,185,4,I personally would not want to be involved in any thing criminal.,mistrust,2,"in case scientist are trying to find a cure for something, like a disease",Coded_Medical_A,medical cure,0.4888,0.836,9/27/17,9/27/17,30,1,1,1,5,3,"Q10,Q9",NA,2,1,2,1,2,3,3,3,2,1,1,1,3,3,2,3,2,NA,3,2,2,2,2,2,NA,3,2,2,4,NA,NA,2,1,1,1,1,2,1,1,2,2,1,1,2,2,2,1,2,2,2,2,2,NA,2,3,3,3,3,3,3,-1,NA,3,3,3,3,3,4,4,NA,2,2,1,0,0,0,NA,3,3,3,3,2,3,NA,2,2,2,1,2,1,3,60,5,4,9,2,2,2,1,2,2,9,3,1,3,5,1,52,0,0,0,0,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,4,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-2
177,187,1,Because it might help to develop better practices for using DNA to solve crimes,research,1,As it may help to improve health related issues for people in the future,Coded_Medical_A,value,1.4467,0.8885,9/27/17,9/27/17,6,1,1,1,5,3,NA,NA,1,2,1,2,2,2,2,2,1,1,1,2,1,2,2,3,1,"Q29,Q30",1,1,3,2,2,1,NA,3,1,2,1,NA,NA,2,1,1,1,1,2,1,1,1,3,2,1,3,3,3,3,3,3,2,3,2,NA,2,2,2,4,4,4,4,1,NA,4,2,3,2,3,4,1,NA,1,2,1,0,0,0,NA,4,4,2,2,2,2,NA,3,2,2,2,3,3,1,50,4,3,13,4,1,2,1,1,1,17,1,1,1,2,1,22,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
178,188,1,At some point it may help prove my innocence of something.,interest,1,I believe it may help scientists develop new medicines and cures for troublesome health problems,Coded_Medical_A,medical cure,0.9777,0.6004,9/27/17,9/27/17,26,1,1,1,5,3,NA,NA,1,2,1,1,1,2,2,2,1,1,1,1,1,3,2,2,1,"Q29,Q30",4,4,4,1,3,1,NA,2,1,4,1,NA,NA,3,1,1,1,1,4,1,1,2,4,2,3,4,2,4,1,1,3,1,4,2,NA,1,2,1,4,5,5,4,3,NA,4,1,2,3,2,3,1,NA,1,3,NA,NA,NA,NA,NA,3,5,5,1,1,1,NA,4,1,3,3,3,4,1,72,6,4,10,3,1,1,1,4,1,10,1,1,2,3,3,32,0,0,1,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,3,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
179,189,4,No trust in the government,mistrust,4,Do not trust what they will do with my DNA,Coded_Medical_A,mistrust,0.5819,0.9952,9/27/17,9/27/17,24,1,1,1,5,3,NA,NA,1,1,1,2,2,2,3,3,1,1,1,3,2,3,3,3,1,NA,4,1,2,3,2,4,NA,1,1,1,4,NA,NA,1,3,2,3,1,1,3,3,2,4,4,3,4,3,4,3,4,4,3,2,2,NA,2,2,3,4,4,1,2,3,NA,3,1,1,1,2,3,4,NA,2,2,1,0,0,0,NA,1,3,2,5,4,5,NA,1,1,1,1,2,2,3,52,4,3,11,3,2,1,1,4,1,15,1,1,2,3,1,31,0,0,0,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
180,190,2,The US criminal justice system is seriously broken.  I favor anything that will help avoid more wrong convictions.,exoneration/innocence,4,"I don't understand what this will be used for.  Generally speaking, scientists nowadays are doing immoral research, and putting much of the results to immoral purposes.",Coded_Medical_A,mistrust,0.3232,0.3945,9/27/17,9/27/17,68,1,8,1,2,4,NA,NA,1,1,1,2,2,3,3,3,1,2,1,3,3,3,3,3,1,"Q29,Q30",1,1,3,3,3,4,NA,1,3,3,2,NA,NA,2,1,3,2,2,2,2,4,3,4,3,4,3,2,3,2,3,2,2,4,3,NA,2,3,2,3,5,3,1,2,NA,2,1,2,3,1,3,5,NA,2,2,1,0,0,0,NA,3,3,1,4,4,4,NA,2,1,1,3,2,2,3,54,4,3,13,4,4,1,0,2,1,16,5,1,3,5,2,59,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,1,2
181,191,-1,Yes I would be willing. I hit the next button by accident.,indeterminate willing,1,I have a lot of health issues. most is genetic. I would hope one day some of my deceases could be cured. Perhaps donating my DNA could help,Coded_Medical_A,interest,1.9671,1.2081,9/27/17,9/30/17,4350,1,1,1,5,3,NA,NA,1,1,1,2,2,2,3,3,1,1,1,2,2,2,3,3,1,NA,4,4,3,1,2,1,NA,1,1,2,-1,NA,NA,3,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,3,2,1,2,2,NA,2,5,3,3,4,3,4,1,NA,3,2,1,3,2,3,3,NA,1,1,NA,NA,NA,NA,NA,2,1,5,5,5,5,NA,2,3,1,4,4,4,3,75,7,4,7,1,1,2,1,2,1,9,1,1,3,7,1,73,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,3,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,2
182,192,4,.,"NA",3,Privacy concerns--I would only be willing if basic demographics were collected.,Coded_Medical_A,privacy,1.9674,1.2083,9/27/17,9/27/17,29,1,1,1,5,4,NA,NA,1,1,1,2,2,3,2,3,2,3,1,3,3,3,3,3,3,"Q29,Q30",1,1,4,1,1,3,NA,1,2,1,4,NA,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,2,1,1,NA,2,3,3,2,5,2,3,5,NA,3,2,1,1,1,3,4,NA,1,2,1,0,0,0,NA,1,3,3,5,2,5,NA,3,2,1,1,1,3,2,45,4,3,11,3,1,2,1,2,3,6,6,1,4,8,2,86,0,0,0,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
183,193,2,I would have no worries about contributing if I'm innocent of any crime.,trust,2,"If it contributes to the progress of such research, and it does not harm anyone in any way.",Coded_Medical_A,value,0.4478,0.5466,9/27/17,9/27/17,21,1,2,1,2,4,"Q10,Q9",NA,2,2,1,1,1,2,2,3,1,2,1,2,2,3,2,3,1,NA,4,4,3,3,1,2,NA,2,2,3,2,NA,NA,2,1,2,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,NA,3,4,3,2,2,2,3,2,NA,2,2,1,3,1,3,5,NA,3,1,NA,NA,NA,NA,NA,3,1,2,4,3,4,NA,2,1,1,1,1,1,3,78,7,4,9,2,4,2,1,3,1,7,3,1,4,9,1,93,0,0,1,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
184,194,1,Why not?,indeterminate willing,1,Can't think of a reason why not to,Coded_Medical_A,indeterminate willing,0.8889,0.5459,9/27/17,9/27/17,11,1,1,1,5,4,NA,NA,1,1,1,2,2,2,2,2,1,1,1,2,2,2,2,3,1,NA,3,1,4,2,1,1,NA,1,1,1,1,NA,NA,2,1,2,2,1,3,2,2,2,3,2,3,3,1,4,3,3,3,1,3,3,NA,2,4,2,5,5,4,2,1,NA,3,1,2,2,1,1,4,NA,2,1,NA,NA,NA,NA,NA,2,1,2,4,4,2,NA,3,1,2,2,1,1,3,68,6,4,13,4,1,1,1,4,1,16,1,1,4,9,2,93,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
185,195,3,Unless I was convicted of a crime I wouldn't allow them to have a dna sample,interest,3,personal info my choice not to allow the use of my dna,Coded_Medical_A,indeterminate unwilling,0.9895,0.6077,9/27/17,9/27/17,30,1,1,1,5,4,NA,NA,1,2,1,2,2,3,2,2,1,2,1,2,2,3,2,2,1,"Q29,Q30",3,4,4,4,2,3,NA,3,2,2,3,NA,NA,2,1,2,2,2,3,2,3,3,4,3,3,3,3,3,3,3,3,2,3,3,NA,2,2,3,3,3,3,3,2,NA,2,1,2,2,1,2,5,NA,2,2,1,0,0,0,NA,3,2,3,3,-1,4,NA,2,1,2,2,2,2,2,65,6,4,11,3,1,1,1,2,1,12,1,1,3,5,1,56,0,0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
